"GSPTSE.Open" "GSPTSE.High" "GSPTSE.Low" "GSPTSE.Close" "GSPTSE.Volume" "GSPTSE.Adjusted"
"2007-02-15" 13218.299805 13294.299805 13204.5 13288.200195 223171500 13288.200195
"2007-02-16" 13310.099609 13325.099609 13279.200195 13312 208040000 13312
"2007-02-19" 13314 13323.799805 13281.799805 13291.5 86850300 13291.5
"2007-02-20" 13220.700195 13322.700195 13200.700195 13319.700195 206971500 13319.700195
"2007-02-21" 13309.5 13331.599609 13238.200195 13330.299805 239685200 13330.299805
"2007-02-22" 13373.299805 13377.799805 13248.400391 13318 198729400 13318
"2007-02-23" 13364.900391 13376.299805 13318 13343.5 171308000 13343.5
"2007-02-26" 13406.200195 13433 13343.5 13404.5 197053300 13404.5
"2007-02-27" 13259.299805 13404.5 12947.900391 13040.099609 249326400 13040.099609
"2007-02-28" 13049 13086.099609 12951.700195 13045 218005000 13045
"2007-03-01" 12920 13045 12794.900391 12981.099609 212759300 12981.099609
"2007-03-02" 12930.299805 13024.900391 12857 12863.299805 232959700 12863.299805
"2007-03-05" 12691.5 12863.299805 12674.700195 12711.299805 202800500 12711.299805
"2007-03-06" 12831.700195 12886 12711.299805 12868.200195 213557300 12868.200195
"2007-03-07" 12891.900391 13016.599609 12868.200195 12989.599609 186820800 12989.599609
"2007-03-08" 13030.599609 13102.299805 12989.599609 13051 188968400 13051
"2007-03-09" 13050.700195 13102.400391 13026.700195 13057.400391 152614600 13057.400391
"2007-03-12" 13032.599609 13065.200195 13004.099609 13065.200195 151876400 13065.200195
"2007-03-13" 13042.200195 13095.5 12804.5 12809.599609 175190600 12809.599609
"2007-03-14" 12776.200195 12842.5 12661.5 12808.700195 199023500 12808.700195
"2007-03-15" 12859.799805 12901.400391 12808.700195 12874.299805 168906900 12874.299805
"2007-03-16" 12873.5 12932.900391 12814 12829.700195 253309200 12829.700195
"2007-03-19" 12894.700195 13025.700195 12829.700195 13011.700195 155104400 13011.700195
"2007-03-20" 13012.5 13045.799805 12975.200195 12977.400391 153814100 12977.400391
"2007-03-21" 12985 13155.599609 12977.400391 13155.599609 185137400 13155.599609
"2007-03-22" 13190.599609 13231.599609 13135.799805 13139.599609 229223500 13139.599609
"2007-03-23" 13152.400391 13237.700195 13139.599609 13237.700195 189586500 13237.700195
"2007-03-26" 13306.200195 13308.099609 13216.299805 13302.900391 222152400 13302.900391
"2007-03-27" 13254.200195 13302.900391 13203.099609 13218.799805 176646600 13218.799805
"2007-03-28" 13216.5 13247.599609 13182.5 13197.200195 225507400 13197.200195
"2007-03-29" 13275.299805 13299.5 13197.200195 13258 193218300 13258
"2007-03-30" 13229.099609 13258 13143.099609 13165.5 202292000 13165.5
"2007-04-02" 13185.299805 13268.599609 13165.5 13265.799805 145315400 13265.799805
"2007-04-03" 13275.099609 13383.599609 13254.099609 13361.200195 208472600 13361.200195
"2007-04-04" 13367.900391 13448.299805 13322.200195 13448.299805 222440300 13448.299805
"2007-04-05" 13445.299805 13460.299805 13425 13425 165520400 13425
"2007-04-09" 13459.400391 13519.099609 13425 13482.299805 132136800 13482.299805
"2007-04-10" 13518.400391 13518.400391 13429.099609 13431.299805 225567800 13431.299805
"2007-04-11" 13447.700195 13474.599609 13398.200195 13401 241546100 13401
"2007-04-12" 13396.5 13502.400391 13359 13499.700195 197813300 13499.700195
"2007-04-13" 13509.700195 13581.299805 13491.900391 13578.599609 203283900 13578.599609
"2007-04-16" 13599.799805 13667.099609 13578.599609 13660 205978500 13660
"2007-04-17" 13712.200195 13712 13630.299805 13658 226247100 13658
"2007-04-18" 13612.700195 13713.099609 13617.200195 13712 183662800 13712
"2007-04-19" 13582.5 13712 13539 13574.700195 185490900 13574.700195
"2007-04-20" 13666.099609 13673.599609 13574.700195 13664.700195 348114800 13664.700195
"2007-04-23" 13639.099609 13684 13605.599609 13629 169162000 13629
"2007-04-24" 13607.400391 13656.5 13572.099609 13590.299805 198853800 13590.299805
"2007-04-25" 13610 13675.299805 13590 13672.900391 198452100 13672.900391
"2007-04-26" 13628.799805 13672.900391 13597.5 13597.5 198615100 13597.5
"2007-04-27" 13524.799805 13632.099609 13507.400391 13632 204154300 13632
"2007-04-30" 13617 13632 13416.700195 13416.700195 189737900 13416.700195
"2007-05-01" 13430.200195 13447.5 13305.099609 13406.299805 222947900 13406.299805
"2007-05-02" 13385.099609 13598.299805 13363.400391 13578.700195 262613200 13578.700195
"2007-05-03" 13639.900391 13687 13578.700195 13687 262884400 13687
"2007-05-04" 13729.5 13808.799805 13687 13769.900391 258206600 13769.900391
"2007-05-07" 13844.200195 13896.900391 13769.900391 13865.5 217697700 13865.5
"2007-05-08" 13856.900391 13915.400391 13793.200195 13915.400391 240391200 13915.400391
"2007-05-09" 13890.700195 13950.900391 13847.5 13895.200195 258611600 13895.200195
"2007-05-10" 13875.099609 13925.5 13819.900391 13853.099609 223108000 13853.099609
"2007-05-11" 13852.200195 14009.299805 13851.900391 14003.799805 205220100 14003.799805
"2007-05-14" 13980 14003.799805 13893.599609 13903.299805 168247700 13903.299805
"2007-05-15" 13913.700195 13979.099609 13883.599609 13934.599609 211509200 13934.599609
"2007-05-16" 13927.5 14026.599609 13923.099609 14025 209769900 14025
"2007-05-17" 14011.099609 14100.700195 13946.299805 14100.700195 211902000 14100.700195
"2007-05-18" 14113 14111.5 14055.400391 14105.299805 181981500 14105.299805
"2007-05-21" 14105.299805 14105.299805 14105.299805 14105.299805 0 14105.299805
"2007-05-22" 14129.200195 14161.900391 14098.599609 14112.200195 210447500 14112.200195
"2007-05-23" 14173.799805 14216.200195 14112.200195 14142.5 264423200 14142.5
"2007-05-24" 14145.099609 14182.200195 13925.400391 13946.299805 209701000 13946.299805
"2007-05-25" 13988.900391 14077 13946.299805 14024.099609 193966400 14024.099609
"2007-05-28" 14041.299805 14073.700195 14024.099609 14073.700195 59849300 14073.700195
"2007-05-29" 14073 14084.299805 13962.700195 13962.700195 223904800 13962.700195
"2007-05-30" 13927.200195 14096.5 13895.900391 14081.700195 227615400 14081.700195
"2007-05-31" 14085.299805 14132.200195 14056.799805 14056.799805 265406800 14056.799805
