"EUR.Open" "EUR.High" "EUR.Low" "EUR.Close" "EUR.Volume" "EUR.Adjusted"
"2007-09-04" 9.82 10 9.82 10 600 8.71
"2007-09-05" 10 10 9.6 9.6 2300 8.36
"2007-09-06" 9.6 9.6 9.4 9.58 1200 8.35
"2007-09-07" 9.5 9.6 9.5 9.6 58600 8.36
"2007-09-10" 9.25 9.3 9.25 9.25 4800 8.06
"2007-09-11" 9.1 10 8.8 10 10700 8.71
"2007-09-12" 9.8 9.81 9.6 9.81 250500 8.55
"2007-09-13" 9.8 9.8 9.8 9.8 100 8.54
"2007-09-14" 9.6 9.78 9.6 9.78 200 8.52
"2007-09-17" 9.6 9.79 9.4 9.53 285800 8.3
"2007-09-18" 9.5 9.68 9.5 9.68 5000 8.43
"2007-09-19" 9.97 9.97 9.65 9.7 1700 8.45
"2007-09-20" 9.81 9.81 9.6 9.7 1700 8.45
"2007-09-21" 9.54 9.85 9.53 9.65 6200 8.41
"2007-09-24" 9.6 9.7 9.6 9.7 100 8.45
"2007-09-25" 9.69 9.7 9.4 9.7 2000 8.45
"2007-09-26" 9.33 9.8 9.3 9.7 3000 8.45
"2007-09-27" 9.7 9.7 9.5 9.7 19800 8.45
"2007-09-28" 9.7 9.8 9.4 9.8 35000 8.54
"2007-10-01" 9.87 9.87 9.71 9.87 300 8.6
"2007-10-02" 9.87 9.87 9.7 9.7 1200 8.45
"2007-10-03" 9.78 9.78 9.78 9.78 0 8.52
"2007-10-04" 9.85 9.88 9.85 9.88 2500 8.61
"2007-10-05" 9.75 9.83 9.7 9.83 4000 8.56
"2007-10-08" 9.68 9.89 9.68 9.68 900 8.43
"2007-10-09" 9.67 9.67 9.67 9.67 600 8.43
"2007-10-10" 9.58 9.88 9.58 9.88 265500 8.61
"2007-10-11" 9.9 10.85 9.81 10.85 12600 9.45
"2007-10-12" 10.87 10.87 9.95 10.55 11500 9.19
"2007-10-15" 10.4 10.89 10.4 10.89 2900 9.49
"2007-10-16" 10.89 11 10.7 10.8 7600 9.41
"2007-10-17" 10.6 11.2 10.5 11.05 7800 9.63
"2007-10-18" 10.91 11.4 10.91 11.12 2300 9.69
"2007-10-19" 11 11.45 11 11.45 2900 9.98
"2007-10-22" 11.08 11.08 10.9 10.99 102600 9.58
"2007-10-23" 11.19 11.19 11 11 7100 9.58
"2007-10-24" 10.81 11.12 10.81 11.12 200 9.69
"2007-10-25" 11.09 11.18 10.85 10.85 1400 9.45
"2007-10-26" 10.81 10.81 10.81 10.81 200 9.42
"2007-10-29" 10.72 11 10.72 11 2700 9.58
"2007-10-30" 10.82 10.82 10.82 10.82 0 9.43
"2007-10-31" 10.8 11 10.8 11 344200 9.58
"2007-11-02" 11.2 11.2 10.01 10.6 13200 9.24
"2007-11-05" 10.6 10.84 10.6 10.84 2300 9.44
"2007-11-06" 10.89 10.9 10.75 10.9 1100 9.5
"2007-11-07" 10.78 10.85 10.6 10.85 1829200 9.45
"2007-11-08" 10.7 10.74 10.7 10.74 0 9.36
"2007-11-09" 10.7 10.84 10.5 10.84 1000100 9.44
"2007-11-12" 10.4 10.75 10.4 10.75 1000 9.37
"2007-11-13" 10.75 10.82 10.4 10.4 48600 9.06
"2007-11-14" 10.5 10.69 10.5 10.69 983400 9.31
"2007-11-15" 10.7 10.7 10.5 10.67 1580700 9.3
"2007-11-16" 10.4 10.56 10.3 10.56 2700 9.2
"2007-11-19" 10.65 10.65 10.3 10.6 239000 9.24
"2007-11-20" 10.55 10.55 9.9 10.19 7300 8.88
"2007-11-21" 9.85 9.85 9.52 9.79 2100 8.53
"2007-11-22" 9.95 10.05 9.7 10.05 9800 8.76
"2007-11-23" 10.05 10.13 10.05 10.13 200 8.83
"2007-11-26" 10.15 10.15 10 10 32500 8.71
"2007-11-27" 9.8 9.8 9.7 9.7 2400 8.45
"2007-11-28" 9.85 9.85 9.5 9.5 1000 8.28
"2007-11-29" 9.85 9.95 9.8 9.95 1100 8.67
"2007-11-30" 9.94 10.9 9.94 10.9 4100 9.5
"2007-12-03" 10.9 11.25 10.87 11.25 6100 9.8
"2007-12-04" 11.24 11.24 10.95 10.95 2200 9.54
"2007-12-05" 11 11 11 11 18800 9.58
"2007-12-06" 11 11 10.97 10.97 13700 9.56
"2007-12-07" 11.25 12.21 11.25 12.1 199700 10.54
"2007-12-10" 12.17 12.25 11.77 11.87 11800 10.34
"2007-12-11" 11.8 11.89 11.55 11.89 6100 10.36
"2007-12-12" 11.55 12 11.55 12 4800 10.46
"2007-12-13" 12 12 11.1 11.75 53800 10.24
"2007-12-14" 11.7 11.7 11.5 11.6 2700 10.11
"2007-12-17" 11.3 11.4 11.05 11.05 33900 9.63
"2007-12-18" 11.05 12 10.55 11.05 6500 9.63
"2007-12-19" 11.1 11.1 10.5 11 273700 9.58
"2007-12-20" 10.75 11.97 10.75 11.97 1700 10.43
"2007-12-21" 11.7 11.7 11.1 11.4 298200 9.93
"2007-12-27" 11.55 11.55 11.4 11.4 1600 9.93
"2007-12-28" 11.3 12 11.3 12 9100 10.46
"2008-01-02" 11.9 11.9 11.45 11.46 3900 9.99
"2008-01-03" 11.05 11.1 11.05 11.1 100 9.67
"2008-01-04" 10.99 11 10.54 10.79 6700 9.4
"2008-01-07" 10.54 10.6 10.2 10.2 5100 8.89
"2008-01-08" 10.05 10.34 10.05 10.33 1100 9
"2008-01-09" 10.3 10.3 10.1 10.25 5000 8.93
"2008-01-10" 10 10 9.81 10 20400 8.71
"2008-01-11" 9.9 10 9.9 10 32400 8.71
"2008-01-14" 9.99 10.1 9.9 9.9 1360100 8.63
"2008-01-15" 9.81 10 9.81 10 74800 8.71
"2008-01-16" 9.9 9.9 9.5 9.7 780400 8.45
"2008-01-17" 9.8 10.2 9.8 10.15 423100 8.84
"2008-01-18" 10.01 11 10 10.8 230000 9.41
"2008-01-21" 10.87 10.87 10.22 10.51 180300 9.16
"2008-01-22" 10.4 10.41 10.11 10.4 305100 9.06
"2008-01-23" 10.57 10.57 10.16 10.19 1715700 8.88
"2008-01-24" 10.2 11 10.2 10.79 17600 9.4
"2008-01-25" 11.05 11.14 10.8 10.96 123200 9.55
"2008-01-28" 10.6 10.65 10.21 10.21 92500 8.9
"2008-01-29" 10.4 10.4 10.26 10.4 204200 9.06
"2008-01-30" 10.42 10.42 10.21 10.41 2100 9.07
"2008-01-31" 10.31 11.1 10.21 10.4 233100 9.06
"2008-02-01" 10.25 10.49 10.25 10.49 1900 9.14
"2008-02-04" 10.4 10.8 10.4 10.5 174600 9.15
"2008-02-05" 10.5 10.5 10.4 10.4 205200 9.06
"2008-02-06" 10.4 10.8 10.4 10.45 284200 9.11
"2008-02-07" 10.41 10.8 10.41 10.79 99700 9.4
"2008-02-08" 10.8 11.5 10.8 11.5 141800 10.02
"2008-02-11" 11.3 11.7 11.3 11.5 500 10.02
"2008-02-12" 11.5 11.5 11.4 11.5 202400 10.02
"2008-02-13" 11.5 11.68 11.5 11.68 20300 10.18
"2008-02-14" 11.7 12.6 11.57 12.59 59400 10.97
"2008-02-15" 12.3 12.3 11.95 12.3 3000 10.72
"2008-02-18" 12.1 12.1 11.5 11.85 28400 10.33
"2008-02-19" 11.6 11.85 11.3 11.79 11400 10.27
"2008-02-20" 11.5 12.9 11.5 12.9 6000 11.24
"2008-02-21" 12.5 13.2 11.81 13.2 15100 11.5
"2008-02-22" 12.94 13.2 12.22 12.9 201100 11.24
"2008-02-25" 12.89 13.5 12.65 12.8 54400 11.15
"2008-02-26" 12.66 12.68 12.65 12.65 3600 11.02
"2008-02-27" 12.7 13 12.4 12.8 11700 11.15
"2008-02-28" 12.52 12.8 12.52 12.8 2700 11.15
"2008-02-29" 12.5 12.5 12.05 12.2 14900 10.63
"2008-03-03" 11.9 12 11.8 11.85 9500 10.33
"2008-03-04" 11.7 11.94 11.66 11.66 140400 10.16
"2008-03-05" 11.7 12.2 11.65 11.9 96300 10.37
"2008-03-06" 11.8 12.1 11.75 11.9 93000 10.37
"2008-03-07" 11.95 12.3 11.7 11.9 30600 10.37
"2008-03-10" 11.8 12.79 11.55 12.5 19700 10.89
"2008-03-11" 12.79 12.79 11.8 11.91 106500 10.38
"2008-03-12" 11.9 12.5 11.9 12.5 12500 10.89
"2008-03-13" 12.5 12.5 12.25 12.38 52100 10.79
"2008-03-14" 12.38 12.38 12.34 12.34 108100 10.75
"2008-03-17" 12.3 12.3 11.7 11.9 2800 10.37
"2008-03-18" 12.1 12.39 12 12.38 27700 10.79
"2008-03-19" 12 12.41 12 12.39 514000 10.8
"2008-03-20" 12.1 12.3 12.1 12.3 1900 10.72
"2008-03-25" 12.3 12.3 12.18 12.18 6000 10.61
"2008-03-26" 12.3 12.3 12.3 12.3 1500 10.72
"2008-03-27" 12.25 12.3 12.25 12.3 500 10.72
"2008-03-28" 12.3 12.48 12.3 12.48 268900 10.87
"2008-03-31" 12.45 12.7 12.2 12.7 26100 11.07
"2008-04-01" 12.51 12.7 12.5 12.7 69600 11.07
"2008-04-02" 12.7 12.7 12.7 12.7 1500 11.07
"2008-04-03" 12.7 12.7 12.5 12.7 529200 11.07
"2008-04-04" 12.7 12.85 12.55 12.85 2300 11.2
"2008-04-07" 13 13 12.85 13 25500 11.33
"2008-04-08" 12.8 13 12.5 13 4200 11.33
"2008-04-09" 12.99 12.99 12.82 12.92 59700 11.26
"2008-04-10" 12.88 13 12.88 13 43500 11.33
"2008-04-11" 12.8 12.99 12.8 12.81 46800 11.16
"2008-04-14" 12.87 13 12.5 12.9 5000 11.24
"2008-04-15" 12.6 12.9 12.6 12.9 500 11.24
"2008-04-16" 12.9 12.9 12.32 12.85 269200 11.2
"2008-04-17" 12.95 13 12.9 13 183300 11.33
"2008-04-18" 13 13.3 12.95 13.1 58400 11.41
"2008-04-21" 13.1 13.1 13 13 63800 11.33
"2008-04-22" 12.86 13 12.8 12.85 156400 11.2
"2008-04-23" 13.4 13.4 12.86 13 7500 11.33
"2008-04-24" 13.1 13.1 12.9 12.9 80700 11.24
"2008-04-25" 13 13.5 13 13.1 92700 11.41
"2008-04-28" 13.2 13.25 12.8 13.2 584600 11.5
"2008-04-29" 13 13.2 12.72 13.1 27500 11.41
"2008-04-30" 13.1 13.15 13.1 13.15 35500 11.46
"2008-05-05" 13.14 13.29 13.05 13.1 218800 11.41
"2008-05-06" 13.2 13.28 13.2 13.27 12400 11.56
"2008-05-07" 13.3 13.43 13.01 13.2 4200 11.5
"2008-05-08" 13.06 13.06 12.71 13.04 4100 11.36
"2008-05-09" 12.8 13.1 12.8 13.04 1900 11.36
"2008-05-12" 13.04 13.05 12.8 13 7600 11.33
"2008-05-13" 12.85 12.99 12.85 12.99 700 11.32
"2008-05-14" 12.99 13 12.99 13 25000 11.33
"2008-05-15" 13 13 12.9 13 11100 11.33
"2008-05-16" 13 13 12.8 12.86 5200 11.21
"2008-05-19" 13 13 12.8 13 42600 11.33
"2008-05-20" 13 13 12.8 13 1100 11.33
"2008-05-21" 12.61 12.9 12.51 12.9 29300 11.24
"2008-05-23" 12.79 12.8 12.79 12.8 6700 11.15
"2008-05-26" 12.8 12.8 12.8 12.8 2000 11.15
"2008-05-27" 12.8 12.8 12.42 12.75 8500 11.11
"2008-05-28" 12.75 13 12.75 13 551000 11.33
"2008-05-29" 13 13 12.9 12.9 8100 11.24
"2008-05-30" 12.9 12.9 12.9 12.9 8000 11.24
"2008-06-02" 12.88 12.9 12.75 12.9 115500 11.24
"2008-06-03" 12.6 12.88 12.6 12.88 86100 11.22
"2008-06-04" 12.6 12.8 12.6 12.7 700 11.07
"2008-06-05" 12.7 12.7 12.6 12.69 5000 11.06
"2008-06-06" 12.69 12.69 12.23 12.5 1600 10.89
"2008-06-09" 12.2 12.3 12.2 12.2 1700 10.63
"2008-06-10" 12.19 12.38 11.4 11.7 22800 10.19
"2008-06-11" 11.7 11.95 11.55 11.61 8400 10.12
"2008-06-12" 11.3 12.2 11.3 11.62 35400 10.12
"2008-06-13" 11.5 11.8 11.5 11.8 100 10.28
"2008-06-16" 12.04 12.98 12.04 12.6 24400 10.98
"2008-06-17" 12.8 13 12.7 12.99 2900 11.32
"2008-06-18" 12.99 12.99 12.62 12.62 0 11
"2008-06-19" 12.99 12.99 12.6 12.99 2800 11.32
"2008-06-20" 12.99 12.99 12.99 12.99 100 11.32
"2008-06-23" 12.8 12.95 11.7 12.9 12500 11.24
"2008-06-24" 12.5 12.61 12.5 12.6 186000 10.98
"2008-06-25" 12.4 12.6 12.4 12.6 3100 10.98
"2008-06-26" 12.11 12.5 11.8 12.5 10500 10.89
"2008-06-27" 11.6 12.3 11.6 12 39300 10.71
"2008-06-30" 11.71 12.5 11.7 12.5 179900 11.16
"2008-07-01" 12.3 12.79 11.85 12.2 8400 10.89
"2008-07-02" 12 12.45 12 12.3 13500 10.98
"2008-07-03" 12.2 12.3 12 12.3 450900 10.98
"2008-07-04" 12.01 12.3 12 12 1500 10.71
"2008-07-07" 12 12.3 12 12.29 800 10.97
"2008-07-08" 12 12 11.8 11.9 5400 10.62
"2008-07-09" 11.9 11.9 11.9 11.9 155200 10.62
"2008-07-10" 11.85 11.85 11.7 11.77 36000 10.51
"2008-07-11" 11.5 12 11.5 12 5800 10.71
"2008-07-14" 11.6 11.6 11.3 11.3 10900 10.09
"2008-07-15" 11 11 10.5 10.5 9000 9.37
"2008-07-16" 10.2 10.3 9.89 9.9 3300 8.84
"2008-07-17" 9.9 10.5 9.75 9.75 71700 8.7
"2008-07-18" 9.7 9.9 9.5 9.9 11600 8.84
"2008-07-21" 9.9 10 9.9 9.9 103200 8.84
"2008-07-22" 9.94 9.95 9.9 9.95 2300 8.88
"2008-07-23" 9.94 9.94 9.75 9.89 85500 8.83
"2008-07-24" 9.93 10.1 9.85 9.93 897200 8.86
"2008-07-25" 9.92 9.92 9.8 9.8 4500 8.75
"2008-07-28" 10 10 9.81 9.85 529000 8.79
"2008-07-29" 9.88 9.88 9.69 9.8 234600 8.75
"2008-07-30" 10.02 10.14 9.8 9.8 5100 8.75
"2008-07-31" 9.8 9.93 9.62 9.85 819000 8.79
"2008-08-01" 9.92 10.15 9.8 10 229400 8.93
"2008-08-04" 10.1 10.15 9.85 10 14100 8.93
"2008-08-05" 9.93 10.09 9.93 10.09 123300 9.01
"2008-08-06" 10.12 10.12 10 10.01 6600 8.94
"2008-08-07" 10.06 10.14 10.05 10.11 119500 9.03
"2008-08-08" 10.12 10.49 10 10.44 13200 9.32
"2008-08-11" 10.47 11 10.47 10.78 64800 9.62
"2008-08-12" 11.1 11.3 10.95 11 360400 9.82
"2008-08-13" 10.85 11.07 10.85 10.89 3500 9.72
"2008-08-14" 10.9 10.9 10.8 10.85 2800 9.69
"2008-08-18" 10.85 11.1 10.85 10.85 9900 9.69
"2008-08-19" 10.99 11.22 10.78 10.95 218800 9.78
"2008-08-20" 10.99 10.99 10.94 10.94 900 9.77
"2008-08-21" 10.66 10.95 10.65 10.7 192100 9.55
"2008-08-22" 10.7 10.95 10.7 10.85 9000 9.69
"2008-08-25" 11.18 11.2 10.86 10.98 1500 9.8
"2008-08-26" 11.1 11.1 10.91 11.09 6600 9.9
"2008-08-27" 11.09 11.09 11 11 2200 9.82
"2008-08-28" 10.92 11.45 10.91 11.45 79500 10.22
"2008-08-29" 11.45 11.8 11.25 11.76 170000 10.5
"2008-09-01" 11.65 11.65 11.23 11.5 291100 10.27
"2008-09-02" 11.35 11.5 11.3 11.3 134500 10.09
"2008-09-03" 11.46 11.46 11.15 11.3 700 10.09
"2008-09-04" 11.3 11.3 11.2 11.3 1300 10.09
"2008-09-05" 11.1 11.1 10.91 11 2900 9.82
"2008-09-08" 10.92 10.92 10.75 10.75 131200 9.6
"2008-09-09" 10.95 10.95 10.87 10.87 0 9.7
"2008-09-10" 10.87 10.87 10.1 10.3 27800 9.2
"2008-09-11" 10.3 10.5 10.3 10.31 149300 9.2
"2008-09-12" 10.31 10.48 10.31 10.37 5e+05 9.26
"2008-09-15" 10.31 10.37 9.62 9.62 20600 8.59
"2008-09-16" 9.6 9.75 9.5 9.6 256500 8.57
"2008-09-17" 9.82 9.82 9.5 9.65 114000 8.61
"2008-09-18" 9.4 9.7 9.4 9.7 50700 8.66
"2008-09-19" 9.85 10 9.6 10 126400 8.93
"2008-09-22" 10 10.1 10 10.1 25500 9.02
"2008-09-23" 9.8 10.1 9.8 10.1 332700 9.02
"2008-09-24" 10.1 10.25 10.1 10.25 10100 9.15
"2008-09-25" 10.4 10.4 10 10.1 69700 9.02
"2008-09-26" 9.8 10.3 9.8 10.3 13800 9.2
"2008-09-29" 10.1 10.35 10.1 10.1 7100 9.02
"2008-09-30" 10 10.35 10 10.25 95800 9.15
"2008-10-01" 10.35 11.1 10.35 11.1 111400 9.91
"2008-10-02" 11.1 11.3 11 11 660800 9.82
"2008-10-03" 10.85 11 10.7 11 78600 9.82
"2008-10-06" 10.69 11 10.25 10.3 203800 9.2
"2008-10-07" 9.9 10.4 9.9 10 2200 8.93
"2008-10-08" 9.99 10 9.5 9.9 472900 8.84
"2008-10-09" 9.8 10.13 9.7 9.9 304400 8.84
"2008-10-10" 9.4 9.6 9 9.35 278000 8.35
"2008-10-13" 9.5 9.64 9.3 9.64 237300 8.61
"2008-10-14" 10.5 10.5 9.9 9.9 330900 8.84
"2008-10-15" 9.95 9.95 9.5 9.5 102800 8.48
"2008-10-16" 8.7 9.1 8.7 8.75 317600 7.81
"2008-10-17" 9.3 9.3 8.79 9.04 240100 8.07
"2008-10-20" 9.78 9.78 9 9.1 1500 8.12
"2008-10-21" 9.5 9.5 9.2 9.25 88200 8.26
"2008-10-22" 9.2 9.2 9.01 9.01 2800 8.04
"2008-10-23" 9.3 9.3 8.8 8.8 54400 7.86
"2008-10-24" 8.95 8.95 8.32 8.4 103100 7.5
"2008-10-27" 8.5 8.5 7.9 8.13 13800 7.26
"2008-10-28" 8.34 8.8 8.3 8.3 169700 7.41
"2008-10-29" 8.5 8.9 8.2 8.5 8100 7.59
"2008-10-30" 8.8 8.8 8.5 8.7 10800 7.77
"2008-10-31" 8.53 8.53 8.41 8.5 51400 7.59
"2008-11-03" 8.5 9.2 8.5 9.2 12900 8.21
"2008-11-04" 9.2 9.6 9.2 9.32 170700 8.32
"2008-11-05" 9.31 9.72 9.31 9.41 73800 8.4
"2008-11-06" 9.2 9.34 9.2 9.34 309200 8.34
"2008-11-07" 9.4 9.4 9.3 9.35 22000 8.35
"2008-11-10" 9.4 9.8 9.4 9.8 148800 8.75
"2008-11-12" 9.8 10.19 9.5 10.03 96600 8.95
"2008-11-13" 10.02 10.02 9.7 9.71 91400 8.67
"2008-11-14" 9.71 9.71 9.61 9.61 300 8.58
"2008-11-17" 9.74 9.74 9.4 9.66 17400 8.62
"2008-11-18" 9.66 10.1 9.66 10.1 121700 9.02
"2008-11-19" 10.2 10.2 10 10.16 129600 9.07
"2008-11-20" 9.6 10.19 9.5 9.75 19100 8.7
"2008-11-21" 9.9 10 9.5 9.89 375700 8.83
"2008-11-24" 10 10 9.6 10 325700 8.93
"2008-11-25" 10 10.25 9.9 10.25 17100 9.15
"2008-11-26" 10 10.6 10 10.6 102700 9.46
"2008-11-27" 10.32 10.95 10.32 10.4 177200 9.28
"2008-11-28" 10.7 10.7 10.4 10.4 254600 9.28
"2008-12-01" 10.4 10.4 10.2 10.2 12400 9.11
"2008-12-02" 10.2 10.21 10 10.21 14700 9.11
"2008-12-03" 10.21 10.21 10 10.01 53300 8.94
"2008-12-04" 10.15 10.6 10 10.29 122900 9.19
"2008-12-05" 10.29 10.38 10.15 10.38 800 9.27
"2008-12-08" 10.39 10.6 10.39 10.55 492100 9.42
"2008-12-09" 10.05 10.4 10.05 10.4 33700 9.28
"2008-12-10" 10.7 10.79 10.5 10.79 472400 9.63
"2008-12-11" 10.8 10.8 10.6 10.64 51600 9.5
"2008-12-12" 10.64 10.65 10.46 10.6 59100 9.46
"2008-12-15" 10.75 10.8 10.5 10.5 213500 9.37
"2008-12-16" 10.8 10.8 10.5 10.5 133500 9.37
"2008-12-17" 10.6 10.74 10.5 10.6 128900 9.46
"2008-12-18" 10.36 10.36 10.15 10.3 20400 9.2
"2008-12-19" 10.2 10.2 9.3 9.55 61300 8.53
"2008-12-22" 9.6 9.76 9.55 9.76 31000 8.71
"2008-12-23" 10 10.08 9.76 9.97 130800 8.9
"2008-12-24" 9.97 9.97 9.97 9.97 0 8.9
"2008-12-25" 9.97 9.97 9.97 9.97 0 8.9
"2008-12-26" 9.97 9.97 9.97 9.97 0 8.9
"2008-12-29" 9.96 9.96 9.55 9.6 42700 8.57
"2008-12-30" 9.95 9.95 9.8 9.85 23400 8.79
"2008-12-31" 9.85 10 9.54 10 94700 8.93
"2009-01-01" 10 10 10 10 0 8.93
"2009-01-02" 10 10 10 10 0 8.93
"2009-01-05" 10.06 10.29 9.76 10.29 146800 9.19
"2009-01-06" 10.28 10.28 10.07 10.1 25400 9.02
"2009-01-07" 10.01 10.2 10.01 10.18 22900 9.09
"2009-01-08" 10.11 10.11 10.1 10.1 10600 9.02
"2009-01-09" 10 10.01 9.77 9.99 41500 8.92
"2009-01-12" 9.89 10.07 9.63 10.07 33000 8.99
"2009-01-13" 9.99 10 9.7 10 61900 8.93
"2009-01-14" 9.7 9.7 9.61 9.61 800 8.58
"2009-01-15" 9.61 9.61 9.5 9.5 2900 8.48
"2009-01-16" 9.51 9.51 9.25 9.3 85500 8.3
"2009-01-19" 9.3 9.7 9.25 9.7 69400 8.66
"2009-01-20" 9.5 9.5 8.7 9.25 600 8.26
"2009-01-21" 9.25 9.63 9.25 9.5 17300 8.48
"2009-01-22" 9.4 9.4 9.01 9.01 72500 8.04
"2009-01-23" 9 9 8.99 8.99 700 8.03
"2009-01-26" 8.99 8.99 8.7 8.8 106300 7.86
"2009-01-27" 8.9 8.9 8.52 8.75 21300 7.81
"2009-01-28" 8.69 8.69 8.16 8.5 2700 7.59
"2009-01-29" 8.5 8.5 8.12 8.45 315000 7.54
"2009-01-30" 8.45 8.5 8.45 8.5 43600 7.59
"2009-02-02" 8.6 9.2 8.5 8.85 100600 7.9
"2009-02-03" 8.85 8.85 8.32 8.65 2100 7.72
"2009-02-04" 8.2 8.65 8.2 8.65 9600 7.72
"2009-02-05" 8.63 8.64 8.42 8.55 31000 7.63
"2009-02-06" 8.42 8.85 8.42 8.64 176000 7.71
"2009-02-09" 8.64 8.64 8.48 8.56 200 7.64
"2009-02-10" 8.65 8.8 8.64 8.8 59200 7.86
"2009-02-11" 8.8 8.8 8.7 8.7 95800 7.77
"2009-02-12" 8.62 8.62 8.5 8.5 7100 7.59
"2009-02-13" 8.6 8.75 8.6 8.75 209000 7.81
"2009-02-16" 8.22 8.25 8.22 8.25 1400 7.37
"2009-02-17" 8.7 8.7 8.05 8.05 1000 7.19
"2009-02-18" 8.6 8.6 7.75 7.85 153700 7.01
"2009-02-19" 8.4 8.4 8.05 8.4 6900 7.5
"2009-02-20" 8.2 8.2 7.96 8.05 19300 7.19
"2009-02-23" 7.25 7.99 7.25 7.65 300 6.83
"2009-02-24" 7.65 7.65 7.51 7.55 14700 6.74
"2009-02-25" 8.3 8.3 7.7 7.7 31700 6.87
"2009-02-26" 7.5 8.35 7.5 8.35 0 7.45
"2009-02-27" 8 8.01 8 8 72800 7.14
"2009-03-02" 8.34 8.35 8.2 8.2 500 7.32
"2009-03-03" 8.2 8.5 8.2 8.5 16600 7.59
"2009-03-04" 8.44 8.45 8.4 8.4 3300 7.5
"2009-03-05" 8.43 8.72 8.43 8.6 43700 7.68
"2009-03-06" 8.98 8.98 8.7 8.92 195300 7.96
"2009-03-09" 9 9 8.65 8.97 2500 8.01
"2009-03-10" 8.85 9 8.85 9 116800 8.03
"2009-03-11" 9.04 9.05 8.8 9 114100 8.03
"2009-03-12" 8.8 9 8.8 9 5500 8.03
"2009-03-13" 9 9.2 9 9.05 42500 8.08
"2009-03-16" 9 9.01 9 9 66500 8.03
"2009-03-17" 9 9 9 9 255300 8.03
"2009-03-18" 8.99 9.2 8.99 9.14 148800 8.16
"2009-03-19" 9.25 9.25 9.01 9.2 0 8.21
"2009-03-20" 9.47 9.47 9 9.1 2100 8.12
"2009-03-23" 9.2 9.49 9.2 9.49 3100 8.47
"2009-03-24" 9.28 9.5 8.37 9 80000 8.03
"2009-03-25" 9.35 9.35 9 9.19 35000 8.2
"2009-03-26" 9.37 9.37 9.19 9.3 3100 8.3
"2009-03-27" 9.3 9.3 9.2 9.25 1800 8.26
"2009-03-30" 9.25 9.25 9 9 1700 8.03
"2009-03-31" 9 9.21 9 9.21 7400 8.22
"2009-04-01" 9.25 9.25 9 9 4600 8.03
"2009-04-02" 9.1 9.25 9.1 9.2 59900 8.21
"2009-04-03" 9.2 9.5 9.18 9.49 46500 8.47
"2009-04-06" 9.5 9.5 9 9.4 29400 8.39
"2009-04-07" 9.4 9.4 9.2 9.2 41700 8.21
"2009-04-08" 9.28 9.63 9.25 9.3 115700 8.3
"2009-04-09" 9.3 9.6 9.2 9.33 76600 8.33
"2009-04-10" 9.33 9.33 9.33 9.33 0 8.33
"2009-04-13" 9.33 9.33 9.33 9.33 0 8.33
"2009-04-14" 9.57 9.79 9.51 9.79 10000 8.74
"2009-04-15" 9.65 10 9.61 10 41700 8.93
"2009-04-16" 9.9 10.29 9.9 10.29 128300 9.19
"2009-04-17" 10.3 10.49 10.29 10.3 96800 9.2
"2009-04-20" 10.3 10.3 9.88 10.02 1500 8.95
"2009-04-21" 10 10.25 10 10.25 6400 9.15
"2009-04-22" 10.25 10.5 10.25 10.25 63100 9.15
"2009-04-23" 10.49 10.99 10.32 10.45 13900 9.33
"2009-04-24" 10.9 11 10.6 11 239400 9.82
"2009-04-27" 10.24 10.78 10.24 10.25 51500 9.15
"2009-04-28" 10.6 10.62 10 10.3 637300 9.2
"2009-04-29" 10.01 10.4 10.01 10.4 3900 9.28
"2009-04-30" 10.4 10.4 10.01 10.31 138200 9.2
"2009-05-01" 10.31 10.31 10.31 10.31 0 9.2
"2009-05-04" 10.38 10.38 10.15 10.19 14300 9.1
"2009-05-05" 10.1 10.2 9.71 9.81 18600 8.76
"2009-05-06" 9.8 9.98 9.4 9.82 628900 8.77
"2009-05-07" 9.98 10.38 9.98 10.15 2500 9.06
"2009-05-08" 10 10.3 10 10.2 70000 9.11
"2009-05-11" 10.2 10.59 10.2 10.42 72400 9.3
"2009-05-12" 10.58 11 10.57 10.9 90700 9.73
"2009-05-13" 10.9 11.2 10.71 10.9 51400 9.73
"2009-05-14" 10.71 10.73 10.5 10.5 57600 9.37
"2009-05-15" 11 11 10.41 10.99 3500 9.81
"2009-05-18" 11 11 11 11 100 9.82
"2009-05-19" 10.89 10.89 10.8 10.88 500 9.71
"2009-05-20" 10.88 10.88 10.6 10.6 134700 9.46
"2009-05-21" 10.51 10.53 10.51 10.53 2900 9.4
"2009-05-22" 10.45 10.69 10.45 10.55 111500 9.42
"2009-05-25" 10.52 10.52 10.45 10.45 100 9.33
"2009-05-26" 10.45 10.65 10.35 10.65 134900 9.51
"2009-05-27" 9.74 10.65 9.74 10.3 122200 9.2
"2009-05-28" 10.44 10.44 10.26 10.3 5700 9.2
"2009-05-29" 10.31 10.31 10.2 10.3 28800 9.2
"2009-06-01" 10.3 10.65 10.3 10.65 7200 9.51
"2009-06-02" 10.66 10.66 10.3 10.3 16400 9.2
"2009-06-03" 10.5 10.5 9.85 10.25 59400 9.15
"2009-06-04" 10.18 10.2 9.9 10.1 8600 9.02
"2009-06-05" 10.2 10.2 10.19 10.19 800 9.1
"2009-06-08" 10.4 10.4 10.1 10.14 12100 9.05
"2009-06-09" 10.44 10.45 10.2 10.31 87400 9.2
"2009-06-10" 10.3 10.49 10.08 10.4 60200 9.56
